Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,197,Hardeman,2,50
2000-2010,2015,197,Hardeman,3,50
2000-2010,2015,197,Hardeman,4,54
2000-2010,2015,199,Hardin,0,676
2000-2010,2015,199,Hardin,1,678
2000-2010,2015,199,Hardin,2,682
2000-2010,2015,199,Hardin,3,695
2000-2010,2015,199,Hardin,4,712
2000-2010,2015,201,Harris,0,"71,719"
2000-2010,2015,201,Harris,1,"70,466"
2000-2010,2015,201,Harris,2,"69,193"
2000-2010,2015,201,Harris,3,"67,809"
2000-2010,2015,201,Harris,4,"66,435"
2000-2010,2015,203,Harrison,0,890
2000-2010,2015,203,Harrison,1,882
2000-2010,2015,203,Harrison,2,890
2000-2010,2015,203,Harrison,3,894
2000-2010,2015,203,Harrison,4,912
2000-2010,2015,205,Hartley,0,55
2000-2010,2015,205,Hartley,1,54
2000-2010,2015,205,Hartley,2,54
2000-2010,2015,205,Hartley,3,54
2000-2010,2015,205,Hartley,4,54
2000-2010,2015,207,Haskell,0,63
2000-2010,2015,207,Haskell,1,61
2000-2010,2015,207,Haskell,2,61
2000-2010,2015,207,Haskell,3,58
2000-2010,2015,207,Haskell,4,56
2000-2010,2015,209,Hays,0,"3,112"
2000-2010,2015,209,Hays,1,"3,007"
2000-2010,2015,209,Hays,2,"2,918"
2000-2010,2015,209,Hays,3,"2,852"
2000-2010,2015,209,Hays,4,"2,781"
2000-2010,2015,211,Hemphill,0,55
2000-2010,2015,211,Hemphill,1,54
2000-2010,2015,211,Hemphill,2,54
2000-2010,2015,211,Hemphill,3,54
2000-2010,2015,211,Hemphill,4,53
2000-2010,2015,213,Henderson,0,"1,026"
2000-2010,2015,213,Henderson,1,"1,013"
2000-2010,2015,213,Henderson,2,"1,008"
2000-2010,2015,213,Henderson,3,"1,000"
2000-2010,2015,213,Henderson,4,991
2000-2010,2015,215,Hidalgo,0,"16,743"
2000-2010,2015,215,Hidalgo,1,"16,337"
2000-2010,2015,215,Hidalgo,2,"15,951"
2000-2010,2015,215,Hidalgo,3,"15,567"
2000-2010,2015,215,Hidalgo,4,"15,167"
2000-2010,2015,217,Hill,0,463
2000-2010,2015,217,Hill,1,465
2000-2010,2015,217,Hill,2,469
2000-2010,2015,217,Hill,3,468
2000-2010,2015,217,Hill,4,460
2000-2010,2015,219,Hockley,0,376
2000-2010,2015,219,Hockley,1,372
2000-2010,2015,219,Hockley,2,367
2000-2010,2015,219,Hockley,3,359
2000-2010,2015,219,Hockley,4,350
2000-2010,2015,221,Hood,0,573
2000-2010,2015,221,Hood,1,572
2000-2010,2015,221,Hood,2,570
2000-2010,2015,221,Hood,3,569
2000-2010,2015,221,Hood,4,566
2000-2010,2015,223,Hopkins,0,504
2000-2010,2015,223,Hopkins,1,500
2000-2010,2015,223,Hopkins,2,492
2000-2010,2015,223,Hopkins,3,491
2000-2010,2015,223,Hopkins,4,491
2000-2010,2015,225,Houston,0,256
2000-2010,2015,225,Houston,1,260
2000-2010,2015,225,Houston,2,259
2000-2010,2015,225,Houston,3,262
2000-2010,2015,225,Houston,4,260
2000-2010,2015,227,Howard,0,425
2000-2010,2015,227,Howard,1,423
2000-2010,2015,227,Howard,2,418
2000-2010,2015,227,Howard,3,417
2000-2010,2015,227,Howard,4,412
2000-2010,2015,229,Hudspeth,0,56
2000-2010,2015,229,Hudspeth,1,54
2000-2010,2015,229,Hudspeth,2,48
2000-2010,2015,229,Hudspeth,3,50
2000-2010,2015,229,Hudspeth,4,45
2000-2010,2015,231,Hunt,0,"1,159"
2000-2010,2015,231,Hunt,1,"1,139"
2000-2010,2015,231,Hunt,2,"1,127"
2000-2010,2015,231,Hunt,3,"1,116"
2000-2010,2015,231,Hunt,4,"1,114"
2000-2010,2015,233,Hutchinson,0,298
2000-2010,2015,233,Hutchinson,1,296
2000-2010,2015,233,Hutchinson,2,298
2000-2010,2015,233,Hutchinson,3,302
2000-2010,2015,233,Hutchinson,4,305
2000-2010,2015,235,Irion,0,21
2000-2010,2015,235,Irion,1,22
2000-2010,2015,235,Irion,2,22
2000-2010,2015,235,Irion,3,21
2000-2010,2015,235,Irion,4,20
2000-2010,2015,237,Jack,0,103
2000-2010,2015,237,Jack,1,102
2000-2010,2015,237,Jack,2,99
2000-2010,2015,237,Jack,3,99
2000-2010,2015,237,Jack,4,96
2000-2010,2015,239,Jackson,0,202
2000-2010,2015,239,Jackson,1,201
2000-2010,2015,239,Jackson,2,199
2000-2010,2015,239,Jackson,3,200
2000-2010,2015,239,Jackson,4,199
2000-2010,2015,241,Jasper,0,455
2000-2010,2015,241,Jasper,1,456
2000-2010,2015,241,Jasper,2,456
2000-2010,2015,241,Jasper,3,459
2000-2010,2015,241,Jasper,4,462
2000-2010,2015,243,Jeff Davis,0,29
2000-2010,2015,243,Jeff Davis,1,28
